Country Name,Country Code,Access to electricity
Croatia,HRV,100
Haiti,HTI,46.92553329
Hungary,HUN,100
IBRD only,IBD,98.77616372
IDA & IBRD total,IBT,88.93398421
IDA total,IDA,61.21993581
IDA blend,IDB,67.85639704
Indonesia,IDN,96.94999695
IDA only,IDX,57.86893724
Isle of Man,IMN,100
India,IND,99
Not classified,INX,
Ireland,IRL,100
"Iran, Islamic Rep.",IRN,100
Iraq,IRQ,100
Iceland,ISL,100
Israel,ISR,100
Italy,ITA,100
Jamaica,JAM,100
Jordan,JOR,99.90000153
Japan,JPN,100
Kazakhstan,KAZ,100
Kenya,KEN,71.4379425
Kyrgyz Republic,KGZ,99.98104858
Cambodia,KHM,86.40000153
Kiribati,KIR,91.96302795
St. Kitts and Nevis,KNA,100
"Korea, Rep.",KOR,100
Kuwait,KWT,100
Latin America & Caribbean (excluding high income),LAC,98.38509724
Lao PDR,LAO,100
Lebanon,LBN,100
Liberia,LBR,27.53470993
Libya,LBY,69.70735168
St. Lucia,LCA,100
Latin America & Caribbean,LCN,98.5165341
Least developed countries: UN classification,LDC,54.60979835
Low income,LIC,43.20505682
Liechtenstein,LIE,100
Sri Lanka,LKA,100
Lower middle income,LMC,90.08620246
Low & middle income,LMY,88.61852312
Lesotho,LSO,47.35273743
Late-demographic dividend,LTE,99.46195521
Lithuania,LTU,100
Luxembourg,LUX,100
Latvia,LVA,100
"Macao SAR, China",MAC,100
St. Martin (French part),MAF,100
Morocco,MAR,100
Monaco,MCO,100
Moldova,MDA,100
Madagascar,MDG,33.7350769
Maldives,MDV,100
Middle East & North Africa,MEA,97.23807245
Mexico,MEX,99.40000153
Marshall Islands,MHL,99.16060638
Middle income,MIC,94.04577194
North Macedonia,MKD,100
Mali,MLI,50.56141663
Malta,MLT,100
Myanmar,MMR,70.39719391
Middle East & North Africa (excluding high income),MNA,96.78096037
Montenegro,MNE,100
Mongolia,MNG,98.09999847
Northern Mariana Islands,MNP,100
Mozambique,MOZ,30.60383224
Mauritania,MRT,47.34841919
Mauritius,MUS,99.66165161
Malawi,MWI,14.86676884
Malaysia,MYS,100
North America,NAC,100
Namibia,NAM,56.2586937
New Caledonia,NCL,100
Niger,NER,19.25190926
Nigeria,NGA,55.40000153
Nicaragua,NIC,88.90737915
Netherlands,NLD,100
Norway,NOR,100
Nepal,NPL,89.90000153
Nauru,NRU,100
New Zealand,NZL,100
OECD members,OED,99.94445425
Oman,OMN,100
Other small states,OSS,78.59722558
Pakistan,PAK,75.37969208
Panama,PAN,96.70463562
Peru,PER,99.31181335
Philippines,PHL,96.84238434
Palau,PLW,100
Papua New Guinea,PNG,60.40000153
Poland,POL,100
Pre-demographic dividend,PRE,48.38574696
Puerto Rico,PRI,100
"Korea, Dem. People's Rep.",PRK,52.31354523
Portugal,PRT,100
Paraguay,PRY,100
West Bank and Gaza,PSE,100
Pacific island small states,PSS,87.69887168
Post-demographic dividend,PST,99.99813841
French Polynesia,PYF,100
Qatar,QAT,100
Romania,ROU,100
Russian Federation,RUS,100
Rwanda,RWA,46.59999847
South Asia,SAS,95.74387053
Saudi Arabia,SAU,100
Sudan,SDN,55.38970184
Senegal,SEN,70.36894226
Singapore,SGP,100
Solomon Islands,SLB,73.34648132
Sierra Leone,SLE,26.20088577
El Salvador,SLV,100
San Marino,SMR,100
Somalia,SOM,49.73086929
Serbia,SRB,100
Sub-Saharan Africa (excluding high income),SSA,48.22602266
South Sudan,SSD,7.241338253
Sub-Saharan Africa,SSF,48.23045049
Small states,SST,82.69536075
Sao Tome and Principe,STP,76.55908966
Suriname,SUR,98.20477295
Slovak Republic,SVK,100
Slovenia,SVN,100
Sweden,SWE,100
Eswatini,SWZ,79.73049927
Sint Maarten (Dutch part),SXM,100
Seychelles,SYC,100
Syrian Arab Republic,SYR,89.14031982
Turks and Caicos Islands,TCA,99.40000153
Chad,TCD,11.08011723
East Asia & Pacific (IDA & IBRD countries),TEA,98.36554967
Europe & Central Asia (IDA & IBRD countries),TEC,99.99063271
Togo,TGO,53.99743271
Thailand,THA,100
Tajikistan,TJK,99.77929688
Turkmenistan,TKM,100
Latin America & the Caribbean (IDA & IBRD countries),TLA,98.47951836
Timor-Leste,TLS,96.1233139
Middle East & North Africa (IDA & IBRD countries),TMN,96.74297105
Tonga,TON,100
South Asia (IDA & IBRD),TSA,95.74387053
Sub-Saharan Africa (IDA & IBRD countries),TSS,48.23045049
Trinidad and Tobago,TTO,100
Tunisia,TUN,100
Turkiye,TUR,100
Tuvalu,TUV,99.68923187
Tanzania,TZA,39.90000153
Uganda,UGA,42.07441711
Ukraine,UKR,100
Upper middle income,UMC,99.37683822
Uruguay,URY,100
United States,USA,100
Uzbekistan,UZB,100
St. Vincent and the Grenadines,VCT,100
"Venezuela, RB",VEN,100
British Virgin Islands,VGB,100
Virgin Islands (U.S.),VIR,100
Vietnam,VNM,100
Vanuatu,VUT,67.33326721
World,WLD,90.43557661
Samoa,WSM,100
Kosovo,XKX,
"Yemen, Rep.",YEM,73.75792694
South Africa,ZAF,84.38553619
Zambia,ZMB,44.5244751
Zimbabwe,ZWE,52.74766922
